fecha,AFORO,TFAREAL,IGAE,DUMMONUMENTO,MAR,JUN,AFORO_L1,TFAREAL_L2,D_AFORO,D_IGAE,LOG_AFORO,LOG_IGAE,LOG_TFAREAL
2014-07-01,169576,160.1030983,94.2,0,0,0,160091.0,160.8216109,9485.0,2.0,12.041056482892571,4.545420181582317,5.075817972095241
2014-08-01,168266,159.5300817,91.3,0,0,0,169576.0,160.5434024,-1310.0,-2.9000000000000057,12.033301339568048,4.514150787600923,5.072232504442155
2014-09-01,149929,158.8286136,91.3,0,0,0,168266.0,160.1030983,-18337.0,0.0,11.917917127687476,4.514150787600923,5.067825718979401
2014-10-01,157559,157.9552358,95.6,0,0,0,149929.0,159.5300817,7630.0,4.299999999999997,11.967555270276176,4.560172820057356,5.0623116751634
2014-11-01,180146,156.6915173,94.9,0,0,0,157559.0,158.8286136,22587.0,-0.6999999999999886,12.10152291221061,4.552823705615882,5.054279014520834
2014-12-01,193694,155.9273594,95.5,0,0,0,180146.0,157.9552358,13548.0,0.5999999999999943,12.174034873179655,4.5591262474866845,5.049390253931502
2015-01-01,185892,158.7399077,90.6,0,0,0,193694.0,156.6915173,-7802.0,-4.900000000000006,12.132921138894364,4.506454213048934,5.067267062208611
2015-02-01,161645,162.1310897,89.3,0,0,0,185892.0,155.9273594,-24247.0,-1.2999999999999972,11.993157851651388,4.492001487882454,5.088405203689086
2015-03-01,185933,161.4736531,94.3,0,1,0,161645.0,158.7399077,24288.0,5.0,12.133141672748549,4.546481189639412,5.084341990654456
2015-04-01,198276,161.8927949,92.9,0,0,0,185933.0,162.1310897,12343.0,-1.3999999999999917,12.19741527843899,4.531523645819793,5.086934356296125
2015-05-01,190574,162.7053075,94.0,0,0,0,198276.0,161.4736531,-7702.0,1.0999999999999943,12.157795849564732,4.543294782270004,5.091940635081986
2015-06-01,164262,162.4330983,95.6,0,0,1,190574.0,161.8927949,-26312.0,1.5999999999999943,12.009217993038884,4.560172820057356,5.090266214227708
2015-07-01,189114,162.1953122,96.2,0,0,0,164262.0,162.7053075,24852.0,0.6000000000000085,12.15010528680827,4.566429357671661,5.08880123990731
2015-08-01,195533,161.8538425,93.9,0,0,0,189114.0,162.4330983,6419.0,-2.299999999999997,12.18348444211675,4.542230386214217,5.086693721208757
2015-09-01,169707,161.2497087,95.5,0,0,0,195533.0,162.1953122,-25826.0,1.5999999999999943,12.041828699634996,4.5591262474866845,5.082954149162623
2015-10-01,185348,160.4243013,97.3,0,0,0,169707.0,161.8538425,15641.0,1.7999999999999972,12.129990418124114,4.577798989191959,5.0778221883208765
2015-11-01,211796,159.5532204,96.7,0,0,0,185348.0,161.2497087,26448.0,-0.5999999999999943,12.26337882622984,4.571613402459248,5.0723775367888075
2015-12-01,224392,158.9057572,97.5,0,0,0,211796.0,160.4243013,12596.0,0.7999999999999972,12.321149801371291,4.579852378003801,5.068311304478518
2016-01-01,216266,159.0029961,91.7,0,0,0,224392.0,159.5532204,-8126.0,-5.799999999999997,12.284264410496425,4.51852237926242,5.068923045438924
2016-02-01,192317,160.7023901,92.7,0,0,0,216266.0,158.9057572,-23949.0,1.0,12.16690033120565,4.529368472571809,5.079554145688247
2016-03-01,235991,160.466065,94.1,0,1,0,192317.0,159.0029961,43674.0,1.3999999999999917,12.371548947687346,4.544358046591334,5.078082487193151
2016-04-01,208678,160.9758355,95.7,0,0,0,235991.0,160.7023901,-27313.0,1.6000000000000083,12.248547673038264,4.5612182984589085,5.08125426365771
2016-05-01,213744,161.6968858,96.0,0,0,0,208678.0,160.466065,5066.0,0.2999999999999971,12.272534316229594,4.564348191467836,5.085723507275771
2016-06-01,192758,161.5187351,97.4,0,0,1,213744.0,160.9758355,-20986.0,1.4000000000000057,12.169190795103844,4.578826210648489,5.084621142745587
2016-07-01,233512,161.0987168,95.4,0,0,0,192758.0,161.6968858,40754.0,-2.0,12.360988746633527,4.558078578454241,5.082017324912224
2016-08-01,210551,160.6459311,96.9,0,0,0,233512.0,161.5187351,-22961.0,1.5,12.25748318304448,4.5736795188967205,5.079202757510023
2016-09-01,212586,159.670919,95.7,0,0,0,210551.0,161.0987168,2035.0,-1.2000000000000028,12.267101891357624,4.5612182984589085,5.073114940956015
2016-10-01,219187,158.7076708,97.7,0,0,0,212586.0,160.6459311,6601.0,2.0,12.29768052572795,4.581901559048737,5.067063961587946
2016-11-01,231766,157.4765617,100.8,0,0,0,219187.0,159.670919,12579.0,3.0999999999999943,12.353483520958656,4.613138355637268,5.059276632588522
2016-12-01,266190,156.7541862,99.8,0,0,0,231766.0,158.7076708,34424.0,-1.0,12.491965618497494,4.603168183317418,5.0546788853765205
2017-01-01,230040,154.1336067,95.1,0,0,0,266190.0,157.4765617,-36150.0,-4.700000000000003,12.34600848582769,4.554928969551344,5.03781980226115
2017-02-01,221286,159.1422057,93.3,0,0,0,230040.0,156.7541862,-8754.0,-1.7999999999999972,12.307211261498445,4.535820107853298,5.0697981779765
2017-03-01,244972,158.1716032,99.9,0,1,0,221286.0,154.1336067,23686.0,6.6000000000000085,12.40889919728147,4.604169685654508,5.063680539853725
2017-04-01,280508,157.9774,94.3,0,0,0,244972.0,159.1422057,35536.0,-5.6000000000000085,12.544357524037297,4.546481189639412,5.062451984821377
2017-05-01,242222,158.1665855,99.2,0,0,0,280508.0,158.1716032,-38286.0,4.900000000000006,12.39760993999744,4.597138014290827,5.063648816209981
2017-06-01,218242,157.7699429,99.9,0,0,1,242222.0,157.9774,-23980.0,0.7000000000000028,12.293359817818118,4.604169685654508,5.061137914350048
2017-07-01,250572,157.1755981,96.5,0,0,0,218242.0,158.1665855,32330.0,-3.4000000000000057,12.43150158335806,4.56954300834494,5.057363639574434
2017-08-01,232135,156.4027428,99.2,0,0,0,250572.0,157.7699429,-18437.0,2.700000000000003,12.35507437796402,4.597138014290827,5.052434365041837
2017-09-01,226404,155.9148707,95.8,0,0,0,232135.0,157.1755981,-5731.0,-3.4000000000000057,12.330076292999614,4.562262684976814,5.049310157659726
2017-10-01,232889,154.9397744,99.5,0,0,0,226404.0,156.4027428,6485.0,3.700000000000003,12.358317224185972,4.600157644164547,5.043036489155194
2017-11-01,252979,153.3587319,102.8,0,0,0,232889.0,155.9148707,20090.0,3.299999999999997,12.441061760312069,4.632785353021065,5.03277982992386
2017-12-01,284482,152.4571941,100.8,0,0,0,252979.0,154.9397744,31503.0,-2.0,12.558425261654168,4.613138355637268,5.026883862219183
2018-01-01,282661,151.6514808,97.4,1,0,0,284482.0,153.3587319,-1821.0,-3.3999999999999915,12.552003578735173,4.578826210648489,5.021584998676432
2018-02-01,264925,155.6222003,95.3,1,0,0,282661.0,152.4571941,-17736.0,-2.1000000000000085,12.487202046043036,4.557029810660157,5.0474312770169885
2018-03-01,328045,160.3492223,99.0,1,1,0,264925.0,151.6514808,63120.0,3.700000000000003,12.700906073077842,4.59511985013459,5.077354076111812
2018-04-01,285943,160.8947064,98.9,1,0,0,328045.0,155.6222003,-42102.0,-0.0999999999999943,12.563547769239666,4.594109238628667,5.080750153519273
